KILOMETRO;DISTRITO;TX_DISTRIT;ARCOS;CAPACIDAD
0,00;8;FUENCARRAL-EL PARDO;16;32
1,92;16;HORTALEZA;4;8
2,52;16;HORTALEZA;4;8
3,57;16;HORTALEZA;8;16
4,54;16;HORTALEZA;8;16
6,10;16;HORTALEZA;4;8
7,25;16;HORTALEZA;4;8
8,20;16;HORTALEZA;8;16
8,68;16;HORTALEZA;4;8
9,60;20;SAN BLAS;5;10
12,43;20;SAN BLAS;8;16
13,34;20;SAN BLAS;8;16
16,60;14;MORATALAZ;16;32
18,30;14;MORATALAZ;8;16
19,60;13;PUENTE DE VALLECAS;5;10
20,18;13;PUENTE DE VALLECAS;4;8
21,68;13;PUENTE DE VALLECAS;8;16
22,78;13;PUENTE DE VALLECAS;8;16
23,64;13;PUENTE DE VALLECAS;0;0
24,33;13;PUENTE DE VALLECAS;8;16
27,75;12;USERA;4;8
28,70;12;USERA;8;16
30,65;12;USERA;16;32
32,50;11;CARABANCHEL;8;16
34,04;11;CARABANCHEL;4;8
35,30;10;LATINA;4;8
38,08;10;LATINA;8;16
39,22;9;MONCLOA-ARAVACA;4;8
40,12;9;MONCLOA-ARAVACA;4;8
40,89;9;MONCLOA-ARAVACA;4;8
45,91;9;MONCLOA-ARAVACA;4;8
46,71;9;MONCLOA-ARAVACA;4;8
48,37;9;MONCLOA-ARAVACA;4;8
49,38;9;MONCLOA-ARAVACA;4;8
51,58;9;MONCLOA-ARAVACA;4;8
52,31;8;FUENCARRAL-EL PARDO;4;8
54,74;8;FUENCARRAL-EL PARDO;4;8
55,55;8;FUENCARRAL-EL PARDO;8;16
56,94;8;FUENCARRAL-EL PARDO;4;8
57,64;8;FUENCARRAL-EL PARDO;7;14
59,40;8;FUENCARRAL-EL PARDO;8;16
60,06;8;FUENCARRAL-EL PARDO;4;8
60,93;8;FUENCARRAL-EL PARDO;4;8
62,55;8;FUENCARRAL-EL PARDO;4;8
63,17;8;FUENCARRAL-EL PARDO;4;8
