PK,NOMBRE,HORARIO,direccion,DISTRITO,distriurl,LATITUD,LONGITUD,CONTENT-URL
19487,Mercadillo en la via publica UVA Hortaleza (Distrito Hortaleza),Domingos de 9 a 14 horas,carretera estacion de hortaleza 16,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.479473210968706,-3.6515575746954614,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f75f92355c51c010VgnVCM2000000c205a0aRCRD
19633,Mercadillo en la via publica de Camino de las Cruces (Distrito Carabanchel),"Lunes de 9 a 14 horas, excepto festivos.",camino cruces 6,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.37467890972045,-3.7554092617091417,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=65bf92355c51c010VgnVCM2000000c205a0aRCRD
19542,Mercadillo en la via publica de El Pardo (Distrito Fuencarral - El Pardo),Viernes de 9 a 14 horas,calle san leandro 9,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.51788643866983,-3.7756892543609064,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=18cf92355c51c010VgnVCM2000000c205a0aRCRD
19629,Mercadillo en la via publica de Orcasur (Distrito Usera),Sabados de 9 a 14 horas,avenida orcasur 60,Usera,http://dbpedia.org/resource/Usera,40.36806275578338,-3.7001297500715613,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9d5092355c51c010VgnVCM2000000c205a0aRCRD
63209,Mercadillo en la via publica de Parque de la Cornisa (Distrito Centro),Todos los martes y sabados no festivos de 9 a 14 horas,plaza campillo del mundo nuevo 3,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.40644768286364,-3.707987344713689,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=68f2e7510551c010VgnVCM2000000c205a0aRCRD
19529,Mercadillo en la via publica de Rafael Finat (Distrito Latina),Sabados de 9 a 14 horas,avenida poblados 62,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),40.38491112027893,-3.7612257496008246,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d21092355c51c010VgnVCM2000000c205a0aRCRD
19476,Mercadillo en la via publica de San Cristobal de los angeles (Distrito Villaverde),Jueves de 9 a 14 horas,calle burjasot 1,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.34452019989438,-3.686887364713823,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a59092355c51c010VgnVCM2000000c205a0aRCRD
19536,Mercadillo en la via publica de San Restituto (Distrito Moncloa-Aravaca),Jueves de 9 a 14 horas,calle san restituto 24,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.46500944601515,-3.7118692033210126,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=58a092355c51c010VgnVCM2000000c205a0aRCRD
19484,Mercadillo en la via publica de Santa Ana (Distrito Fuencarral - El Pardo),Miercoles de 9 a 14 horas,calle san cugat del valles 8,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.496893825424046,-3.6953071080027495,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0bb092355c51c010VgnVCM2000000c205a0aRCRD
19491,Mercadillo en la via publica de Villaverde Alto,Sabados de 9 a 14 horas,paseo ferroviarios 2,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.34738953464962,-3.715870883860481,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c50192355c51c010VgnVCM2000000c205a0aRCRD
