PK,NOMBRE,sameAs,direccion,DISTRITO,distriurl,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
1881,Biblioteca Historica Municipal,,calle conde duque 9,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42737760210632,-3.7106116887809817,"Secretaria: 915885737. Informacion y Referencia: 915885767, 914800557 y 915885744 ",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD
6779450,Biblioteca Musical Victor Espinos,,calle conde duque 9,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42737760210632,-3.7106116887809817,"91 588 57 53 / 91 588 57 39 / 91 588 57 55                                                         
91 588 57 60",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD
1771,Biblioteca Publica Acuna,,calle quintana 9,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.427942010682415,-3.7169600607379985,"915 413 619                                                                       
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e9ad995a8bf5d010VgnVCM2000000c205a0aRCRD
1767,Biblioteca Publica Canillejas,,calle musas 11,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.43776263645119,-3.6083782410803944,917 424 499,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a8cd995a8bf5d010VgnVCM2000000c205a0aRCRD
5765642,Biblioteca Publica Carabanchel Luis Rosales,,calle antonia rodriguez sacristan 7,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.373420234648606,-3.7480802097487653,"912 760 233                                                                                                          
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7a73f884ad3f9210VgnVCM1000000b205a0aRCRD
1798,Biblioteca Publica Centro Pedro Salinas,,glorieta puerta de toledo 1,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.40709558029403,-3.711046518464516,913 665 407,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=67ed995a8bf5d010VgnVCM2000000c205a0aRCRD
1764,Biblioteca Publica Chamberi 'Jose Luis Sampedro',,calle felipe el hermoso 4,Chamberí,http://dbpedia.org/resource/Chamberí,40.43539063992494,-3.6996132452669075,914 459 782,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5a2279262ef5d010VgnVCM1000000b205a0aRCRD
1774,Biblioteca Publica Elena Fortun (Retiro),,calle doctor esquerdo 189,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.40356992125351,-3.672414651864732,915 019 146 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=44213d0b5e71c010VgnVCM1000000b205a0aRCRD
66904,Biblioteca Publica Fuencarral - El Pardo. Rafael Alberti,,calle sangenjo 38,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.48791129077104,-3.6984002338920092,917 319 552 / 917 319 553,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=260e995a8bf5d010VgnVCM2000000c205a0aRCRD
1770,Biblioteca Publica Hortaleza,,calle abertura 2,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.47723185032398,-3.6496247031818596,917 633 284,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e42e995a8bf5d010VgnVCM2000000c205a0aRCRD
