PK,NOMBRE,sameAs,direccion,DISTRITO,distriurl,LATITUD,LONGITUD,TELEFONO,CONTENT-URL,HORARIO
4847190,Casa-Museo de Lope de Vega,http://dbpedia.org/resource/House-Museum_of_Lope_de_Vega,calle cervantes 11,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.414358466555235,-3.6974741545860015,914 299 216,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,"Para la visita es  imprescindible reserva anticipada  en:  casamuseolopedevega@madrid.org  o en el telefono: 914 299 216, en horario del museo.  De martes a domingo de 10 a 18 horas.  Cerrado los lunes, dias 1 y 6 de enero, 1 de mayo, 9 de noviembre y 24, 25 y 31 de diciembre.  Este horario puede sufrir alteraciones por actividades extraordinarias que se celebran en este espacio."
5682031,Castillo de La Alameda,http://es.dbpedia.org/resource/Castillo_de_La_Alameda,calle antonio sancha 1,Barajas (Madrid),http://dbpedia.org/resource/Barajas_(Madrid),40.45835460563491,-3.5932903820278788,"913 667 415                                                                         
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,"Abierto fines de semana y festivos (incluso los lunes festivos)  De 1 de abril a 15 de junio y de 15 de septiembre a 30 de septiembre: sabados, domingos y festivos de 10 a 21 horas.  De 16 de junio a 15 de septiembre: sabados, domingos y festivos de 10 a 20 horas.  De octubre a marzo: sabados, domingos y festivos de 10 a 18 horas.  Cerrado: 24, 25, 31 de diciembre, 1 de enero, 6 de enero, 1 de mayo."
2064,Casón del Buen Retiro,http://es.dbpedia.org/resource/Casón_del_Buen_Retiro,calle alfonso xii 28,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.415263749471535,-3.689232811717636,913 302 828 / 913 302 009,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,"Mananas     De lunes a jueves, de 9 a 15 h (Servicio de libros y otros materiales hasta las 14:30 horas)    Viernes, de 9 a 14:30 horas (Servicio de libros y otros materiales hasta las 14 h)     Tardes   Lunes y miercoles, de 15 a 18 horas (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre, de lunes a viernes, de 9 a 14:30 horas"
103331,La Casa Encendida,http://es.dbpedia.org/resource/La_Casa_Encendida,ronda valencia 2,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.40595710517701,-3.699779793558763,"902 430 322                                                                 
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,"De martes a domingo de 10 a 22 horas (todos los dias del ano, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas"
6469186,Ermita de San Antonio de la Florida,http://dbpedia.org/resource/Royal_Chapel_of_St._Anthony_of_La_Florida,glorieta san antonio de la florida 5,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.425256682855846,-3.725725718176111,915 420 722,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,"Horario de Verano hasta el 15 de septiembre:  De martes a domingos de 9:30 a 14 horas y de 15 a 19 horas.   Cerrado  los lunes, incluidos festivos, y los dias 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre.   ultimo pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzara 10 minutos antes)   Por motivos de conservacion, el aforo maximo es de 25 personas en el interior de la capilla.  Los sabados que se celebren visitas animadas para familias se interrumpira la visita durante el desarrollo de las mismas.  Este horario y la apertura de salas pueden sufrir modificaciones."
3348,Monasterio de las Descalzas Reales (Madrid),http://es.dbpedia.org/resource/Monasterio_de_las_Descalzas_Reales_(Madrid),plaza descalzas 3,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.418233359889484,-3.706213134639163,"914 548 700                                                             
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12e113db5b71c010VgnVCM1000000b205a0aRCRD,"Solo con visita guiada  .     De martes a sabado de 10 a 14 horas y de 16 a 18:30 horas  Domingos y festivos, de 10 a 15 horas. Cerrado los lunes"
2050,Museo Arqueologico Nacional,http://es.dbpedia.org/page/Museo_Arqueológico_Nacional_(España),calle serrano 13,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.42327763947072,-3.688418705931963,"915 777 912                                                                     
                                                                                     
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD,"De martes a sabados de 9:30 a 20 horas  Domingos y festivos de 9:30 a 15 horas    Cerrado    Todos los lunes del ano.  1 y 6 de enero, 1de mayo y 24, 25 y 31 de diciembre.    Horario de cierre de las taquillas:  15 minutos antes del cierre del Museo.   Dias festivos 2017. Horario 9.30 a 15 horas:   13 y 14 de abril; 2 de mayo;15 de agosto; 12 de octubre; 1 de noviembre; 9 de noviembre; 6 de diciembre; 8 de diciembre."
4112,Museo Cerralbo,http://es.dbpedia.org/page/Museo_Cerralbo,calle ventura rodriguez 17,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.42376732078657,-3.7146170388153497,915 473 646 / 47,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD,"De martes a sabado de 9:30 a 15 horas.  Jueves de 17 a 20 horas, excepto festivos.  Domingos y festivos de 10 a 15 horas.  Cerrado:  Todos los lunes.  1 y 6 de enero.  1 de mayo.  24, 25 y 31 de diciembre.  Por fiesta local."
2074,Museo Geominero,http://es.dbpedia.org/resource/Museo_Geominero,calle rios rosas 23,Chamberí,http://dbpedia.org/resource/Chamberí,40.442047952073665,-3.699670468881422,913 495 759,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff0bef4d7f71c010VgnVCM1000000b205a0aRCRD,"De lunes a domingo y festivos de 9 a 14 horas  Cerrado los dias 1 y 6 de enero y 24, 25 y 31 de diciembre  Visitas guiadas para grupos de lunes a viernes, previa peticion cita"
2053,Museo Lazaro Galdiano,http://es.dbpedia.org/page/Museo_Lázaro_Galdiano,calle serrano 122,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.436750328725985,-3.6861980129207894,915 616 084,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7d1aef4d7f71c010VgnVCM1000000b205a0aRCRD,Martes a sabados de 10 a 16:30 horas.  Domingos de 10 a 15 horas.  Cerrado todos los lunes.  Grupos y visitas guiadas consultar.
5349304,Museo Nacional Centro de Arte Reina Sofia (MNCARS),http://es.dbpedia.org/page/Museo_Nacional_Centro_de_Arte_Reina_Sof%C3%ADa,calle santa isabel 52,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.40854131574014,-3.6940316511856017,"917 741 000                                                                                         
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=69d8275bad5a1210VgnVCM2000000c205a0aRCRD,"De lunes a sabado de 10 a 21 horas y domingos de 10 a 19 horas.  Martes cerrado (incluso festivos).  Cerrado 1 y 6 enero, 1 de mayo y 15 de mayo, 9 de noviembre, 24, 25 y 31 de diciembre"
2057,Museo Nacional de Antropologia,http://es.dbpedia.org/page/Museo_Nacional_de_Antropolog%C3%ADa_(Espa%C3%B1a),calle alfonso xii 68,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.407887537677716,-3.688862923660605,915 306 418 /915 395 995,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=456079262ef5d010VgnVCM1000000b205a0aRCRD,"De martes a sabado de 9:30 a 20 horas.  Domingos y festivos: de 10 a 15 horas.  Cerrado todos los lunes del ano y los dias 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre y un festivo local."
