PK,NOMBRE,sameAs,direccion,DISTRITO,dsitriurl,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
10127255,Oficina de Turismo de Andalucia.,,avenida felipe ii 15,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.424183525039,-3.673810495427334,912 031 200,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d0abc974d4ae6510VgnVCM1000001d4a900aRCRD
27402,Oficina de Turismo de Andorra,,calle alcala 73,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.420463942385524,-3.6873880759267004,914 317 453,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb68444a2951c010VgnVCM2000000c205a0aRCRD
8132913,Oficina de Turismo de Austria,,calle juan alvarez mendizabal 1,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.42352919018361,-3.7137893492193244,915 426 832,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b659eddb85d6e410VgnVCM1000000b205a0aRCRD
127469,Oficina de Turismo de Brasil,,calle almagro 28,Chamberí,http://dbpedia.org/resource/Chamberí,40.43017960044132,-3.692768600492918,917 020 689,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b15d47048781c010VgnVCM1000000b205a0aRCRD
7844,Oficina de Turismo de Castilla - Leon,,calle alcala 105,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.42177018095319,-3.6828394778643716,915 780 324,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c93c19d41471c010VgnVCM1000000b205a0aRCRD
7843,Oficina de Turismo de China,,calle gran via 39,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42009464369331,-3.705324957516307,915 480 011 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0dad19d41471c010VgnVCM1000000b205a0aRCRD
7837,Oficina de Turismo de Cuba,,paseo habana 50,CHAMARTIN,http://dbpedia.org/page/Chamberí,40.4509737804771,-3.6864959795755223,914 113 097,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=048c19d41471c010VgnVCM1000000b205a0aRCRD
7814,Oficina de Turismo de Francia,,calle serrano 40,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.42603070001693,-3.68752726535081,"915 489 737 (Informacion)           
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bbbc19d41471c010VgnVCM1000000b205a0aRCRD
8132923,Oficina de Turismo de Gran Bretana,,paseo castellana 259,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.47592404926307,-3.6872691224974417,917 146 497,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fc37eddb85d6e410VgnVCM1000000b205a0aRCRD
6416785,Oficina de Turismo de Guatemala,,calle fernando el santo 27,Chamberí,http://dbpedia.org/resource/Chamberí,40.42811147922819,-3.69060179113649,913 440 347 / 913 441 417,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=df5f44e4373f6310VgnVCM1000000b205a0aRCRD
