nombre,sameAs,direccion,distrito,distri_url,latitud,longitud,telefono,infoUrl
Asamblea Cristiana de Madrid,,calle alora 7,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.386.040.079.971.300,-364.034.744.917.085,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03758105e2260410VgnVCM2000000c205a0aRCRD
Asociacion Betel,,calle antonia rodriguez sacristan 8,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.372.799.948.839.900,-3.745.081.414.178.660,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9de076172d71c010VgnVCM1000000b205a0aRCRD
Asociacion Darse - Dar Ayuda para la Reinsercion Social España,,camino alto de san isidro 16,Carabanchel,http://dbpedia.org/resource/Carabanchel,403.964.910.317.842,-372.281.263.104.335,676247792,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=358393b8cb901110VgnVCM2000000c205a0aRCRD
Catedral Anglicana de Madrid,,calle beneficencia 18,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),4.042.635.120.982.080,-3.698.682.579.292.040,914 452 560 / 609 876 913,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=94ef13db5b71c010VgnVCM1000000b205a0aRCRD
Catedral Ortodoxa Griega,,calle nicaragua 12,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),4.045.754.917.910.680,-3.672.905.343.222.740,913 454 085,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82547b503a71c010VgnVCM1000000b205a0aRCRD
Centro Cultural Islámico y Mezquita de Madrid,http://es.dbpedia.org/resource/Centro_Cultural_Islámico_y_Mezquita_de_Madrid,calle salvador de madariaga 4,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.438.521.492.191.300,-36.573.640.044.493.400,913 262 610,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a3b71e79ee71c010VgnVCM1000000b205a0aRCRD
Centro de Evangelizacion Anuncio de Paz,,calle puerto del monasterio 10,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,4.039.477.355.030.100,-3.665.233.691.809.310,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=17bb8105e2260410VgnVCM2000000c205a0aRCRD
Comunidad Cristiana Maranatha,,calle granada 8,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),4.040.503.855.717.770,-36.800.894.670.027.300,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=429604a5d0260410VgnVCM2000000c205a0aRCRD
Iglesia Anglicana Episcopal de San Jorge,,calle nuñez de balboa 43,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),4.042.669.852.639.710,-368.277.143.067.568,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=48047b503a71c010VgnVCM1000000b205a0aRCRD
Iglesia Bautista Alameda de Osuna,,calle joaquin ibarra 46,Barajas (Madrid),http://dbpedia.org/resource/Barajas_(Madrid),40.455.005.219.463.800,-3.592.907.109.932.930,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd9c1ea949750410VgnVCM2000000c205a0aRCRD
Iglesia Bautista Barrio del Pilar,,calle ginzo de limia 44,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,4.047.854.013.481.560,-3.703.163.788.451.910,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d7521ea949750410VgnVCM2000000c205a0aRCRD
