PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
19487;"Mercadillo en la via publica UVA Hortaleza (Distrito Hortaleza)";"";"Domingos de 9 a 14 horas";"";"Metro: Hortaleza (linea 4)  Bus: 9, 107, 172";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f75f92355c51c010VgnVCM2000000c205a0aRCRD";"ESTACION DE HORTALEZA";"CARRETERA";"V";"16";"";"";"";"";"MADRID";"MADRID";"28033";"PINAR DEL REY";"HORTALEZA";"444883";"4481388";"40.479473210968706";"-3.6515575746954614";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19633;"Mercadillo en la via publica de Camino de las Cruces (Distrito Carabanchel)";"";"Lunes de 9 a 14 horas, excepto festivos.";"";"Metro: Carabanchel Alto,  La Peseta (linea 11)  Bus: 34, 35, 47, 139";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=65bf92355c51c010VgnVCM2000000c205a0aRCRD";"CRUCES";"CAMINO";"V";"6";"";"";"";"";"MADRID";"MADRID";"28044";"BUENAVISTA";"CARABANCHEL";"435981";"4469825";"40.37467890972045";"-3.7554092617091417";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19542;"Mercadillo en la via publica de El Pardo (Distrito Fuencarral - El Pardo)";"";"Viernes de 9 a 14 horas";"";"Bus: linea 601 (empresa Alacuber)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=18cf92355c51c010VgnVCM2000000c205a0aRCRD";"SAN LEANDRO";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28048";"EL PARDO";"FUENCARRAL-EL PARDO";"434399";"4485736";"40.51788643866983";"-3.7756892543609064";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19629;"Mercadillo en la via publica de Orcasur (Distrito Usera)";"";"Sabados de 9 a 14 horas";"";"Bus: 76, 78, 81, 116, 121  Metro: San Fermin (linea 3)  Renfe: Orcasitas (C-5)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9d5092355c51c010VgnVCM2000000c205a0aRCRD";"ORCASUR";"AVENIDA";"V";"60";"";"";"";"";"MADRID";"MADRID";"28041";"ORCASUR";"USERA";"440669";"4469052";"40.36806275578338";"-3.7001297500715613";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
63209;"Mercadillo en la via publica de Parque de la Cornisa (Distrito Centro)";"";"Todos los martes y sabados no festivos de 9 a 14 horas";"";"Metro: Puerta de Toledo (linea 5)  Bus: 3, 41, 60, 148, C1, C2";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=68f2e7510551c010VgnVCM2000000c205a0aRCRD";"CAMPILLO DEL MUNDO NUEVO";"PLAZA";"V";"3";"";"";"";"B";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"440036";"4473319";"40.40644768286364";"-3.707987344713689";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19529;"Mercadillo en la via publica de Rafael Finat (Distrito Latina)";"";"Sabados de 9 a 14 horas";"";"Metro: Aluche (linea 5)  Bus: 17, 31, 117, 121, 131, 138, 139, 155  Renfe: Aluche (C-5)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d21092355c51c010VgnVCM2000000c205a0aRCRD";"POBLADOS";"AVENIDA";"V";"62";"";"";"";"";"MADRID";"MADRID";"28044";"LAS AGUILAS";"LATINA";"435498";"4470965";"40.38491112027893";"-3.7612257496008246";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19476;"Mercadillo en la via publica de San Cristobal de los angeles (Distrito Villaverde)";"";"Jueves de 9 a 14 horas";"";"Bus: 59 , 79  Metro: San Cristobal (linea 3)  Renfe: San Cristobal de los angeles (C-3)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a59092355c51c010VgnVCM2000000c205a0aRCRD";"BURJASOT";"CALLE";"V";"1";"";"";"";"A";"MADRID";"MADRID";"28021";"SAN CRISTOBAL";"VILLAVERDE";"441773";"4466431";"40.34452019989438";"-3.686887364713823";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19536;"Mercadillo en la via publica de San Restituto (Distrito Moncloa-Aravaca)";"";"Jueves de 9 a 14 horas";"";"Metro: Valdezarza (linea 7)  Bus: 126, 127, 128, 132";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=58a092355c51c010VgnVCM2000000c205a0aRCRD";"SAN RESTITUTO";"CALLE";"V";"24";"";"";"";"";"MADRID";"MADRID";"28039";"VALDEZARZA";"MONCLOA-ARAVACA";"439758";"4479822";"40.46500944601515";"-3.7118692033210126";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19484;"Mercadillo en la via publica de Santa Ana (Distrito Fuencarral - El Pardo)";"";"Miercoles de 9 a 14 horas";"";"Metro: Fuencarral (linea 10)  Bus: 66, 137";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0bb092355c51c010VgnVCM2000000c205a0aRCRD";"SAN CUGAT DEL VALLES";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"441190";"4483349";"40.496893825424046";"-3.6953071080027495";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19491;"Mercadillo en la via publica de Villaverde Alto";"";"Sabados de 9 a 14 horas";"";"Bus: 22, 76  Renfe: Puente Alcocer (C-5)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c50192355c51c010VgnVCM2000000c205a0aRCRD";"FERROVIARIOS";"PASEO";"V";"2";"";"";"";"";"MADRID";"MADRID";"28021";"SAN ANDRES";"VILLAVERDE";"439313";"4466769";"40.34738953464962";"-3.715870883860481";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
