PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
6430067;"Bibliobus numero 10. Recorrido semanal";"";"Consulte en   documentacion asociada   el detalle del Horario de verano";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=734a6e6b06637310VgnVCM1000000b205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / Movil: 639 624 276";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
6431159;"Bibliobus numero 11. Recorrido semanal";"";"Consulte en   documentacion asociada   el detalle del horario de verano";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1d69b5f1cea37310VgnVCM1000000b205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / Movil: 619 247 322";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
6432104;"Bibliobus numero 12. Recorrido semanal";"";"Consulte en   documentacion asociada   el detalle del Horario de verano";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7a70ded3cbb37310VgnVCM2000000c205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / Movil: 639 624 280";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
6435986;"Bibliobus numero 13. Recorrido semanal";"";"Consulte en   documentacion asociada   el detalle del Horario de verano";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=18cc33935b957310VgnVCM2000000c205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / Movil: 619 252 842";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
7110421;"Bibliobus numero 2. Recorrido quincenal";"";"Consulte en   documentacion asociada   el detalle del Horario de verno.";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=88626db26d531410VgnVCM1000000b205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / 639 623 967";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
6427915;"Bibliobus numero 6. Recorrido semanal";"";"";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a92128420e037310VgnVCM1000000b205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / 639 623 978";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
6429143;"Bibliobus numero 9. Recorrido semanal";"";"Consulte en   documentacion asociada   el detalle del Horario de verano";"";"";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a60438972b537310VgnVCM1000000b205a0aRCRD";"";"Servicio itinerante";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"0";"0";"";"";"917 951 761 / Movil: 639 623 973";"";"";"/contenido/entidadesYorganismos/Bibliobuses"; 
1881;"Biblioteca Historica Municipal";"El origen de la  Biblioteca Historica Municipal  fue la formacion de una coleccion de libros sobre Madrid. Creada como Biblioteca Municipal en 1876 a iniciativa de Ramon de Mesonero Romanos, en 1990 recibe la denominacion de Historica y se constituye en un centro para la investigacion. Su principal objetivo es la proteccion del legado patrimonial bibliografico y su difusion.  Entre sus  colecciones especiales  estan las siguientes: Madrid, Teatro y Musica (manuscritos e impresos de los siglos  XVII  a  XIX ), Bio-bibliografia (Coleccion Beltran), Paremiologia, Raros, Veterinaria, Guerra Civil Espanola (Coleccion Tomas Borras), Lope de Vega, Cervantes y Toros.";"Horario : de lunes a viernes de 8:30 a 14:30 horas.   Cerrada  festivos y los dias 24 y 31 de diciembre.";"Los  servicios que se prestan  son los siguientes:   Prestamo en Sala de investigacion.  Consulta de la coleccion de referencia en la Sala de investigacion.   Peticion anticipada de documentos a traves del correo:  bibliotecah@madrid.es   Informacion bibliografica por correo postal, correo electronico y telefono.   Reprografia.    Catalogo en linea     Requisitos:  Ser mayor de edad y tener carne de usuario";"Metro:  San Bernardo , Ventura Rodriguez , Plaza Espana, Noviciado  Bus:  1 , 2 , 7 , 21 , 44 , 74 , 147 , Circular, Minibus M-2";"Directorio:     Direccion  Ilda Maria del Rosario Perez Garcia Telefono: 91 588 57 44 Correo electronico  bibliotecah@madrid.es    Negociado Administrativo / Secretaria   Telefono: 91 5885737   Seccion de Informacion y Referencia  Telefono: 91 4800557 Correo electronico  bibliotecah@madrid.es    Seccion de Colecciones Especiales  Correo electronico:  bibliotecah@madrid.es    Seccion de Fondos Generales  Correo electronico  bibliotecah@madrid.es";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD";"CONDE DUQUE";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28015";"UNIVERSIDAD";"CENTRO";"439832";"4475644";"40.42737760210632";"-3.7106116887809817";"Secretaria: 915885737. Informacion y Referencia: 915885767, 914800557 y 915885744 ";"";"bibliotecah@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
6779450;"Biblioteca Musical Victor Espinos";"La  Biblioteca Musical Victor Espinos  fue fundada en 1919 a propuesta de Victor Espinos como  Biblioteca Musical Circulante . Es un centro creado para la difusion y fomento de la educacion musical y desde sus comienzos tiene un marcado caracter de servicio publico, abierto a todo tipo de usuarios. En 1932 se inicia un servicio pionero de prestamo de instrumentos cuyo fin es facilitar el estudio musical.";"Horario : de lunes a viernes de 8:30 a 21 horas.   Horario  de cabinas : de lunes a viernes de 9:00 a 21 horas.    Cerrado  festivos y los dias 24 y 31 de diciembre.";"Accesible a personas con discapacidad fisica.  Espacios:  Sala de consulta y lectura; Salas de ensayo; Sala polivalente.  Servicios:  Prestamo de libros, partituras, multimedia y revistas; Prestamo de instrumentos; Zona WiFi; Informacion bibliografica; Formacion de usuarios; Animacion a la lectura; Reprografia";"Metro : Ventura Rodriguez, Plaza de Espana, San Bernardo y Noviciado.  Bus : 1 , 2 , 7 , 21 , 44 , 74 , 147 , Circular, Minibus M-2";"Directorio:        Direccion:   Inmaculada Seldas Fernandez Tfno: 91 513 36 81   Adjunto:   Maria Jose Paredes Fernandez Telefono: 91 480 14 17     Prestamo de Instrumentos  Telefono: 91 588 57 55    Informacion bibliografica  Telefono: 91 588 57 51    Gestion economica y administrativa  Telefono: 91 588 57 53 Telefono: 91 480 13 44   Mostrador de prestamo / Cabinas de ensayo  Telefonos: 91 588 57 60 / 91 588 57 39";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD";"CONDE DUQUE";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28015";"UNIVERSIDAD";"CENTRO";"439832";"4475644";"40.42737760210632";"-3.7106116887809817";"91 588 57 53 / 91 588 57 39 / 91 588 57 55                                                         
91 588 57 60";"";"bibliomusical@madrid.es";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
1771;"Biblioteca Publica Acuna";"";"Seccion de adultos:  de lunes a viernes de 9 a 21 horas. Sabados de 9 a 14 horas.   Seccion infantil/juvenil:  de lunes a viernes de 15 a 21 horas. Sabados de 9 a 14 horas.  Todos los dias los servicios de prestamo y acceso a internet finalizaran 15 minutos antes del cierre.  Dias de cierre 2017: ver pestana mas informacion.";"Sala adultos o principal : capacidad: 60. Puestos de atencion: 5.   Internet : capacidad: 4.   Sala infantil/juvenil : capacidad: 20. Puestos de atencion: 2.   Hemeroteca : capacidad: 10.";"Metro: Arg&uuml;elles (lineas 3, 4, 6), Ventura Rodriguez (linea 3)  Bus: 1, 2, 44, 74, 133, C1, C2, M2";"Prestamo domiciliario:  carne gratuito presentando el  DNI,  u otro documento que acredite legalmente la identidad personal y para los menores de 14 anos, con autorizacion del padre, la madre o tutor legal   Dias de cierre de la Biblioteca 2016:     Sabados: 7 de enero; 15 de abril; todos los sabados de julio, agosto y septiembre; 9 de diciembre.  Domingos: todos.   Festivos: 6 de enero; 20 de marzo; 13 y 14 de abril; 1, 2 y 15 de mayo; 15 de agosto; 12 de octubre; 1 y 9 de noviembre; 6, 8 y 25 de diciembre.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e9ad995a8bf5d010VgnVCM2000000c205a0aRCRD";"QUINTANA";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439294";"4475711";"40.427942010682415";"-3.7169600607379985";"915 413 619                                                                       
";"915 426 939";"bib.acuna@madrid.org";"/contenido/entidadesYorganismos/BibliotecasPublicas"; 
