PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13947;"Banco de Espana";"El Banco de Espana es el banco central nacional y el supervisor del sistema bancario espanol. Su actividad esta regulada por la Ley de Autonomia del Banco de Espana.";"De lunes a viernes: 8.30 a 14.00 h   Sabados, domingos y festivos: cerrado  Festivos 2017: 6 de enero; 20 de marzo; 13 y 14 de abril; 1, 2 y 15 de mayo; 15 de agosto; 12 de octubre; 1 y 9 de noviembre; 6, 8 y 25 de diciembre.";"Algunos servicios se encuentran ubicados en:   C/  Alcala, 522  28027 Madrid";"Metro: Banco de Espana (linea 2)  Bus: 1, 2, 9, 10, 15, 20, 34, 51, 52, 53, 74, 146, 202, 203";"Dispone de helipuerto civil";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=487d995a8bf5d010VgnVCM2000000c205a0aRCRD";"ALCALA";"CALLE";"V";"48";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441164";"4474685";"40.4188339187439";"-3.69482107480432";"913 385 000 (centralita)";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3371;"Basilica Pontificia de San Miguel";"";"";"";"Metro: Sol (lineas 1, 2 y 3), Tirso de Molina (linea 1), La Latina (linea 5)  Renfe: Sol (lineas 3 y 4)  Bus: 3, 17, 18, 23, 31, 35, 50, 65, 148";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c383d232e91f010VgnVCM1000000b205a0aRCRD";"SAN JUSTO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439900";"4474180";"40.414203159177625";"-3.7096715906562716";"915 484 011";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
1744;"Biblioteca Nacional de Espana";"Fundada por Felipe  V  en 1712 como Biblioteca Publica de Palacio. En 1836 dejo de ser propiedad de la Corona y paso a depender del Ministerio de la Gobernacion y recibio por primera vez el nombre de Biblioteca Nacional y en 1896 se abrio al publico.   Horarios:    Salas de lectura y servicios    De lunes a viernes, de 9 a 21 horas, excepto:  Salas Goya, Cervantes y Barbieri, de 9 a 20 horas.  Oficina de reprografia, de 9 a 19 horas.   Fotocopias al publico, de 9 a 20 horas.  Prestamo interbibliotecario, de 9 a 14:30 horas.      Sabados, de 9 a 14 horas, excepto:  Sala Barbieri, cerrada.  Oficina de reprografia, cerrada.  Fotocopias al publico de 9 a 13 horas.      Exposiciones y Museo    De martes a sabado de 10 a 20 horas.    Domingos y festivos de 10 a 14 horas.      Registro general y carteria    De lunes a jueves de 9 a 14:30 y de 15:30 a 17:30 horas.   Viernes de 9 a 15 horas.    Dias de cierre en 2017 :   1 y 2 de enero.  5 de enero, abierto de 9 a 18 horas.  6 de enero.  7 de enero, abierto de 9 a 14 horas.  20 de marzo.  13, 14 y 15 de abril.  1 y 2 de mayo.  15 de mayo.  15 de agosto.  12 de octubre.  1 y 9 de noviembre.  6, 8, 9, 24, 25 y 31 de diciembre.";"";"";"Metro: Colon (linea 4)  Bus: 1, 5, 9, 14, 19, 21, 27, 37, 45, 51, 53, 74, 150   Cercanias Renfe: Recoletos (lineas C1, C2, C7, C8 y C10)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b8d995a8bf5d010VgnVCM2000000c205a0aRCRD";"RECOLETOS";"PASEO";"V";"20";"";"";"";"";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441505";"4475144";"40.423001908945956";"-3.69084423390357";"915 807 823 / 05 (Informacion) 915 807 800 (Centralita) 915 807 894 (Informacion sobre Exposiciones) 915 169 867 (Informacion sobre el Museo y actividades infantiles) 915 807 755 (Registro General y Carteria)                                                                                                
";"";"acceso@bne.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
14211;"Bolsa de Madrid";"Es el principal mercado de valores de Espana. Tiene su sede en el Palacio de la Bolsa de Madrid.   Visitas Guiadas al  Palacio de la Bolsa   Todos los dias laborables, en horario de manana, la Bolsa de Madrid abre sus puertas al publico para que puedan recorrer el Palacio de la Bolsa. Todas las visitas son guiadas por personal de la Bolsa de Madrid, con objeto de poder aclarar las preguntas del publico, ofreciendo asi una visita dinamica y participativa.  La visita tiene una duracion aproximada de 60 minutos.   Visitas Individuales    Todos los Jueves a las 12 horas.  Puede realizar su reserva para visitar el Palacio, a traves de la direccion de correo electronico:  visitas@grupobme.es     Visitas de Grupos    Centros de Bachiller (colegios, IES, etc...)  Otros grupos: profesionales, universidades, centros de formacion profesional, asociaciones, etc...  Horario: Desde las 10 horas de lunes a viernes  Grupos de 30 personas como maximo  Edad minima: 16 anos";"";"";"Metro: Banco de Espana (linea 2)  Bus: 1, 2, 5, 9, 10, 15, 20, 34";"Descripcion monumental:  disenado por Enrique Repulles y Vargas en 1884-93. Edificio representativo de estilo neoclasico, en el que, aprovechando un solar irregular, se organiza perfectamente el complejo programa. Interesante sala de operaciones semicircular cubierta por una boveda de hierro y cristal.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a9d81eb5f51c010VgnVCM2000000c205a0aRCRD";"LEALTAD";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441386";"4474466";"40.41688576337496";"-3.692184322678944";"917 095 000 (Bolsas y mercados espanoles (BME)";"";"infobolsamadrid@grupobme.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
1956;"Casa de America";"Antiguo Palacio de Linares, disenado por Carlos Colubi en 1872.  De estilo rococo, destaca la escalera de marmol de Manuel Anibal alvarez y toda la decoracion interior.";"Punto de informacion    Lunes a viernes de 9 a 15 y de 16 a 20:30 horas    Exposiciones (Salas Frida Khalo y Diego Rivera)    Lunes a viernes de 11 a 19:30 horas, sabados de 11 a 15 horas. Domingos cerrado.    Visitas guiadas    Sabados y domingos, a las 11, 12 y 13 horas.    Venta de entradas anticipadas en el Punto de informacion de Casa de America.    Restaurante (Acceso por Paseo Recoletos, 2)    De 13:30 a 16 y de 20:30 a 0 horas. Cerrado domingos todo el dia; lunes y martes noche en otono e invierno.";"Celebracion de actividades culturales: conciertos, conferencias, mesas redondas, actividades infantiles, exposiciones  Sala de exposiciones  Anfiteatro  Centro de informacion y documentacion  Cine  Restaurante, cafeteria. (Acceso por Paseo Recoletos, 2).";"Metro: Banco de Espana (linea 2)  Bus: 1, 2, 3, 5, 9, 10, 14, 15, 20, 27, 34, 37, 45, 51, 52, 53, 74, 146, 150.  Cercanias Renfe: Recoletos (lineas C1, C2, C7, C8 Y C10)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=10f979262ef5d010VgnVCM1000000b205a0aRCRD";"CIBELES";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28014";"RECOLETOS";"SALAMANCA";"441379";"4474785";"40.41975904857138";"-3.692284495888486";"915 954 800 (informacion) ";"";"";"/contenido/entidadesYorganismos/Consorcios"; 
20363;"Casa de Cisneros";"Es uno de los pocos palacios renacentistas del siglo XVI conservados en Madrid, aunque con muchas modificaciones.";"";"";"Metro: Sol (lineas 1, 2, 3), opera (lineas R, 2, 5)  Bus: 3, 5, 20, 25, 33, 39, 50, 51, 52, 53, 150";"Descripcion monumental   Casa-palacio mandada construir por Don Benito Jimenez de Cisneros, sobrino del Cardenal Cisneros, en 1537. Posiblemente fue encargada al alarife de la Villa, Miguel de Hita, que utilizo el solar de su antigua casa y el resto de los solares de la manzana que habia adquirido, como consta en un documento de la epoca.   Forma parte del conjunto de la Plaza de la Villa. Despues de la Guerra Civil Felipe Trigo hizo otra reforma interior. Destacan la escalera con azulejos de Talavera y el Salon de los Tapices.   Bibliografia : Arquitectura de Madrid.- Madrid: Fundacion COAM, 2003  Mas informacion en la  pagina web de MonumentaMadrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=023de35bba51c010VgnVCM2000000c205a0aRCRD";"VILLA";"PLAZA";"V";"4";"";"";"";"C/V CALLE CORDON 1, C/V ROLLO 1, C/V SACRAMENTO 2";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439830";"4474259";"40.41490075227339";"-3.7105039839947347";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
20375;"Casa de La Panaderia";"Iniciada por Diego Sillero en 1590 para el gremio del pan, sera acabada y transformada en 1617 por Gomez de Mora al integrarla en el conjunto de la Plaza Mayor. La planta baja era completamente libre permitiendo el paso entre la calle Mayor y la Plaza. A finales del siglo  XVIII   Juan de Villanueva la restauro tras el incendio de la plaza en 1672. Es de destacar el balcon y Escudo Real de la fachada, asi como sus pinturas.";"";"";"Metro: Sol (lineas 1, 2, 3).  Bus: 3, 50.  Renfe: Sol (lineas C3, C4).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=944de35bba51c010VgnVCM2000000c205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"";"MADRID";"MADRID";"28012";"SOL";"CENTRO";"440092";"4474361";"40.41583855082183";"-3.7074257084323636";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
71807;"Casa de La Villa. Ayuntamiento de Madrid";"";"";"";"Metro: Sol (lineas 1, 2, 3), opera (lineas R, 2, 5)  Bus: 3, 5, 20, 25, 33, 39, 50, 51, 52, 53, 150";"Descripcion monumental    El Ayuntamiento madrileno carecio de inmueble propio hasta finalizar el siglo XVI, celebrando sus sesiones en la antigua parroquia de San Salvador, situada en la calle Mayor esquina calle Senores de Luzon.   En 1599 se compraron varias casas en la manzana 182, donde se instalo provisionalmente, y que se derribaron en 1620 para construir el actual edificio. Entonces el Consejo pidio licencia al rey para hacer la Casa del Ayuntamiento. En 1629 se aprobo el proyecto de Juan Gomez de Mora, empezando las obras anos mas tarde.  El edificio estuvo planteado con doble funcion: acoger los servicios municipales y la carcel de la Villa. El resultado fue un edificio exento con planta compuesta en torno a un patio cuadrado, dejando el vestibulo y salones principales en las fachadas principales y el resto de las dependencias en las secundarias.  Las fachadas en ladrillo, granito y pizarra presentan distintos tratamientos por su diferente funcion y situacion urbana, siguiendo la linea de la arquitectura madrilena del siglo XVII impuesta por Gomez de Mora. La fachada a la plaza de la Villa tiene una distribucion simetrica entre torres angulares rematadas con chapitel.  La fachada a la calle Mayor, reformada por Juan de Villanueva siguiendo el diseno de Mateo G&uuml;ill, mantiene las torres angulares y varia el segundo cuerpo, introduciendo en el una  loggia  de orden dorico como gran mirador sobre la calle, que acentua los juegos de luz y sombra.  A lo largo de los siglos XIX y XX se realizaron ampliaciones y reformas interiores para dar cabida a los nuevos servicios del Ayuntamiento.  En la actualidad la sede del Ayuntamiento de Madrid se encuentra en el Palacio de Cibeles.   Autores    Juan Gomez de Mora: 1629 (P)  Juan Gomez de Mora, Jose de Villarreal, Bartolome Hurtado, Jose del Olmo, Manuel del Olmo, Cristobal de Aguilera y Teodoro Ardemans: 1644-1696 (O)  Reforma fachada  c/  Mayor: Mateo G&uuml;ill y Juan de Villanueva: 1785-1789 (O)  Ampliacion: Juan Jose Sanchez Pescador: 1857-1859 (O)  Primera restauracion: Lucio Onoro Dominguez: 1969-1975 (O)  Segunda restauracion: Joaquin Roldan Pascual: patio de cristales: 1984-1985 (O), salon de plenos: 1985 (O), saletas diversas: 1986 (O) y capilla: 1991 (Co)    Mas informacion en  la  pagina de Monumentamadrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=483f68540e41c010VgnVCM2000000c205a0aRCRD";"VILLA";"PLAZA";"V";"5";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439820";"4474291";"40.41518829867041";"-3.7106248754622504";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
20379;"Casa de Las Siete Chimeneas";"Casa palacio construida en 1577 por Antonio Sillero. Ha sufrido numerosas reformas, siendo las mas destacadas las del siglo XIX, a cargo de Agustin Ortiz de Villajos y Antonio Capo. Posteriormente ha sido reformada por Chueca Goitia y Dominguez Salazar. Destaca por las chimeneas que coronan el tejado. Es un ejemplo de la arquitectura domestica del siglo XV.  En la actualidad estan ubicadas dependencias del Ministerio de Cultura.";"";"";"Metro: Banco de Espana (linea 2)  Bus: 1, 2, 5, 9, 15, 20, 46, 51, 52, 53, 74, 146, 150  Renfe: Recoletos";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=275de35bba51c010VgnVCM2000000c205a0aRCRD";"REY";"PLAZA";"V";"1";"";"";"";"C/V INFANTAS, 31, C/V COLMENARES";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"441029";"4474838";"40.42020264263883";"-3.6964264776282376";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
20390;"Casa de Velazquez";"Centro de creacion artistica y de investigacion situado en un palacete de estilo neoclasico de 1920.";"";"Desarrollo de actividades creadoras e investigaciones relacionadas con las artes, las lenguas, las literaturas y las sociedades de paises ibericos, iberoamericanos y del Magreb.";"Bus: 83 , 133, 162  Metro: Ciudad Universitaria (linea 6)";"Descripcion monumental:  el edificio es un palacete de estilo neoclasico inaugurado en 1928, por encargo del gobierno frances a los arquitectos Chifflot y Lefevre, en un terreno concedido por el Rey Alfonso XIII. Desde su fundacion la institucion acoge a jovenes investigadores y artistas emergentes.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a48de35bba51c010VgnVCM2000000c205a0aRCRD";"PAUL GUINARD";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28040";"CIUDAD UNIVERSITARIA";"MONCLOA-ARAVACA";"438201";"4477170";"40.441013640676644";"-3.7299866834370903";"914 551 580";"915 497 250";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
