PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
4949641;"Casa - Museo del Ratoncito Perez";"La residencia de la familia Perez esta situada en los sotanos de la confiteria Prasi, en el numero ocho de la calle del Arenal, segun cita Luis Coloma.";"Lunes  de 17 a 20 horas.  De martes a viernes de 11 a 14 horas y de 17 a 20 horas.  Sabados de 11 a 15 horas y de 16 a 20 horas.  Enero y Febrero: domingos y festivos de 12 a 15 horas y de 16 a 18 horas.  Horario orientativo, consultad disponibilidad en la web del Museo.";"";"Metro: Sol (lineas: 1, 2 y 3), opera (linea 3, Ramal opera Principe Pio), Callao (linea 3, 5)  Bus: 3, 5, 15, 20, 52, 53, 150";"Venta de entradas directamente en el Museo.  Recomendado a partir de los 5 anos.  Se recomienda sacar la entrada con antelacion pues el aforo es limitado.  Grupos: Aforo limitado, se requiere consultar disponibilidad, condiciones y precios. Se reciben grupos y colegios todos los dias, excepto sabados y puentes no lectivos. Atencion exclusiva, se exige un responsable de grupo.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD";"ARENAL";"CALLE";"V";"8";"1.ª";"Local 15 - 16";"";"";"MADRID";"MADRID";"28013";"SOL";"CENTRO";"440254";"4474494";"40.41704834412296";"-3.7055288844865233";"915 226 968";"";"info@casamuseoratonperez.es";"/contenido/entidadesYorganismos/Museos"; 
4847190;"Casa Museo Lope de Vega";"'Mi casilla, mi quietud, mi g&uuml;ertecillo y estudio'. Asi define su casa Felix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro historico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivio sus ultimos 25 anos. La recreacion de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliograficas vinculadas al literato y su tiempo.   Visitas Guiadas   El acceso al museo se hace mediante visitas guiadas en grupo (maximo 10 personas). Imprescindible reservar con antelacion.  Las visitas comienzan cada media hora y tienen una duracion aproximada de 35 minutos (ultima visita a las 17 horas).  Se realizan visitas en ingles, italiano y frances.";"Para la visita es  imprescindible reserva anticipada  en:  casamuseolopedevega@madrid.org  o en el telefono: 914 299 216, en horario del museo.  De martes a domingo de 10 a 18 horas.  Cerrado los lunes, dias 1 y 6 de enero, 1 de mayo, 9 de noviembre y 24, 25 y 31 de diciembre.  Este horario puede sufrir alteraciones por actividades extraordinarias que se celebran en este espacio.";"";"Metro: Anton Martin (linea 1).  Bus: 6, 9, 10, 14, 26, 27, 32, 34, 37, 45, 57.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD";"CERVANTES";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"440935";"4474190";"40.414358466555235";"-3.6974741545860015";"914 299 216";"914 292 601";"casamuseolopedevega@madrid.org";"/contenido/entidadesYorganismos/Museos"; 
5682031;"Castillo de la Alameda";"El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo  XV  y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo el y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la epoca Romana. En el edificio se realizan talleres para escolares y actividades en verano.";"Abierto fines de semana y festivos (incluso los lunes festivos)  De 1 de abril a 15 de junio y de 15 de septiembre a 30 de septiembre: sabados, domingos y festivos de 10 a 21 horas.  De 16 de junio a 15 de septiembre: sabados, domingos y festivos de 10 a 20 horas.  De octubre a marzo: sabados, domingos y festivos de 10 a 18 horas.  Cerrado: 24, 25, 31 de diciembre, 1 de enero, 6 de enero, 1 de mayo.";"Accesibilidad    Rampas de acceso  Servicios para minusvalidos  Informacion en Braille para invidentes";"Metro: Alameda de Osuna (linea 5), El Capricho (linea 5)  Autobuses: 101, 105, 112, 114, 115 y 151";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD";"ANTONIO SANCHA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28042";"ALAMEDA DE OSUNA";"BARAJAS";"449807";"4479009";"40.45835460563491";"-3.5932903820278788";"913 667 415                                                                         
";"";"castilloalameda@madrid.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
2064;"Cason del Buen Retiro";"Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentacion de la coleccion del Museo y de otras fuentes relativas a la historia del arte.";"Mananas     De lunes a jueves, de 9 a 15 h (Servicio de libros y otros materiales hasta las 14:30 horas)    Viernes, de 9 a 14:30 horas (Servicio de libros y otros materiales hasta las 14 h)     Tardes   Lunes y miercoles, de 15 a 18 horas (Servicio de libros y otros materiales hasta las 17:30 horas)   Horario de verano     Desde el 16 de junio al 15 de septiembre, de lunes a viernes, de 9 a 14:30 horas";"";"Metro: Atocha (Linea 1)  Bus: 19, 10, 14, 27, 34, 37, 45  Renfe: Atocha";"Descripcion monumental   El Cason o Salon de Baile es el unico volumen que permanece del antiguo Palacio del buen Retiro, ejecutado en 1637 con un proyecto de Alonso Carbonel. Aun se conserva la boveda de canon con lunetas, pintada al fresco por Lucas Jordan en 1692 con la Alegoria del Toison de Oro. Su fachada principal, a poniente, arrasada la primitiva en 1886 por un ciclon, es de Velazquez Bosco. La ultima rehabilitacion ha sido realizada por Jaime Torruell.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD";"ALFONSO XII";"CALLE";"V";"28";"";"";"";"";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441635";"4474285";"40.415263749471535";"-3.689232811717636";"913 302 828 / 913 302 009";"";"biblioteca@museodelprado.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
103331;"Centro Social y Cultural La Casa Encendida";"Edificio de caracter monumental. De estilo neomudejar, fue disenado por el arquitecto Fernando Arbos e inaugurado en el ano 1913. Cuenta con mas de 6.000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.";"De martes a domingo de 10 a 22 horas (todos los dias del ano, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas";"Biblioteca  (Consulta catalogo  http://koha.montemadrid.es/ )   Biblioteca (Hemeroteca, Mediateca y Sala de ofimatica) : de martes a domingos de 10 a 21:15 horas. Del 1 al 15 agosto, mediateca cerrada   Biblioteca joven:  de martes a viernes, de 10 a 20:30 horas, sabados y domingos de 10 a 13:30 horas   Bebeteca:  sabados y domingos de 10 a 13:30 horas     Tienda solidaria:  De martes a viernes de 11 a 21 horas. Sabados y domingos de 11 a 15 y de 16:30 a 21 horas   Cafeteria:  De martes a domingo de 10 a 20:30 horas";"Metro: Embajadores (linea 3), Lavapies (linea 3)  Bus: 27, 34, 36, 41, 119,  C 1,  C 2  Renfe: Embajadores";"Tarifas 2017:    Exposiciones, Encuentros y Salidas: entrada libre  Audiovisuales y En Familia: 3 euros  Conciertos y escenicas: 5 euros  Cursos, talleres y campamentos: consultar cada actividad   Visitas guiadas y atencion en sala: sabados y domingos de 12 a 14 horas y de 17 a 20 horas  Sin inscripcion previa (gratuita)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD";"VALENCIA";"RONDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440732";"4473259";"40.40595710517701";"-3.699779793558763";"902 430 322                                                                 
";"";"lacasaencendida@montemadrid.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
6469186;"Ermita de San Antonio de la Florida (Museo)";"Ermita dedicada a San Antonio de Padua y pequeno museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se traslado el culto a una ermita gemela construida a su lado, dejando el edificio original como museo.";"Horario de Verano hasta el 15 de septiembre:  De martes a domingos de 9:30 a 14 horas y de 15 a 19 horas.   Cerrado  los lunes, incluidos festivos, y los dias 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre.   ultimo pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzara 10 minutos antes)   Por motivos de conservacion, el aforo maximo es de 25 personas en el interior de la capilla.  Los sabados que se celebren visitas animadas para familias se interrumpira la visita durante el desarrollo de las mismas.  Este horario y la apertura de salas pueden sufrir modificaciones.";"Tienda, en la que se pueden adquirir las guias y publicaciones sobre la ermita editadas por el Museo y otros organismos publicos, asi como catalogos y publicaciones de instituciones culturales del Ayuntamiento de Madrid.";"Metro: Principe Pio (lineas 5, 10 y ramal opera - Principe Pio)  Bus: 41, 46 y 75 (Intercambiador Principe Pio)  Renfe: Principe Pio";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD";"SAN ANTONIO DE LA FLORIDA";"GLORIETA";"V";"5";"";"";"";"";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"438548";"4475419";"40.425256682855846";"-3.725725718176111";"915 420 722";"";"sanantonio@madrid.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
58353;"Espacio Fundacion Telefonica";"";"De martes a domingo, de 10 a 20 horas.  Cerrado al publico todos los lunes y dias 25 de diciembre, 1 y 6 de enero.";"Accesos y espacios habilitados para personas con movilidad reducida, aseos adaptados y con cambiador de panales, ascensor, zonas de descanso y silla de ruedas para uso en las salas.  Conexion WIFI.";"Metro: Gran Via (lineas 1, 5)  Bus: 1, 2, 3, 46, 74, 146, M2";"Telefonos:    Visitas guiadas y talleres educativos: 915 226 645  Reserva de salas y eventos: 915 808 700    Correo electronico:    Informacion general:  espacio@fundaciontelefonica.com   Visitas guiadas y talleres educativos:  actividades.espacio@fundaciontelefonica.com    Tienda abierta de martes a domingo, de 10 a 20 horas.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD";"FUENCARRAL";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28004";"UNIVERSIDAD";"CENTRO";"440590";"4474865";"40.42041458612889";"-3.7016034186955076";"915 808 700 (informacion general)";"";"";"/contenido/entidadesYorganismos/Museos"; 
6017808;"Fundacion AMYC (Arte Moderno y Contemporaneo). Casa - Museo Fuente del Rey";"";"De martes a sabados de 10 a 19 horas. Lunes, domingos y festivos cerrado.  Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guia propio o con guia de la Fundacion, y la duracion de la misma es de una hora. Previa reserva telefonica o via correo electronico.";"Siguiendo la iniciativa del mecenazgo de Francisco Daurella, en 2009 decide crear la Fundacion  AMYC , para la que recupera, rehabilita y acondicona una casa de uso privado para transformala en Casa - Museo. En sus instalaciones acogera diferentes salas expositivas y una sala polivalente para actos culturales. El eje principal de la coleccion de mas de 250 obras, es dar una vision muy dinamica de lo sucedido entre finales del siglo  XIX  y mediados del siglo  XX .";"Bus: 161, I60";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD";"FUENTE DEL REY";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28023";"ARAVACA";"MONCLOA-ARAVACA";"434772";"4478804";"40.45546180290319";"-3.7705836264842576";"913 579 116";"913 575 989";"info@fundacionamyc.org";"/contenido/entidadesYorganismos/FundacionesCulturales"; 
3348;"Monasterio de las Descalzas Reales";"Convento fundado por la Princesa Juana de Austria, transformando un antiguo palacio de su madre Isabel de Portugal.";"Solo con visita guiada  .     De martes a sabado de 10 a 14 horas y de 16 a 18:30 horas  Domingos y festivos, de 10 a 15 horas. Cerrado los lunes";"";"Metro: Callao (lineas 3, 5) , Santo Domingo (linea 2) , Sol (lineas 1, 2, 3) Gran Via (lineas 1, 5)  Bus: 1, 2, 3, 5, 15, 20, 25, 39, 40, 44, 46, 50, 51, 52, 53, 74, 75, 133, 146, 147, 148, 149, 150, 202";"Dias de apertura especial para 2017    20 de marzo, lunes siguiente a San Jose  1 de Mayo, Fiesta del Trabajo  15 de mayo, San Isidro, fiesta local   15 de agosto, Asuncion de la Virgen   12 de octubre, Fiesta Nacional de Espana   1 de noviembre, Dia de Todos los Santos   9 de noviembre, Nuestra Senora de la Almudena, fiesta local   6 de diciembre, Constitucion Espanola   8 de diciembre, Inmaculada Concepcion    Dias de cierre para 2017    1 de enero, Ano Nuevo  6 de enero, Epifania del Senor (Reyes Magos)  Semana Santa, del 12 al 15 abril, inclusive  1 de mayo, Fiesta del Trabajo  24 de diciembre, Natividad del Senor  25 de diciembre, Natividad del Senor  31 de diciembre, Noche Vieja";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12e113db5b71c010VgnVCM1000000b205a0aRCRD";"DESCALZAS";"PLAZA";"V";"3";"";"";"";"";"MADRID";"MADRID";"28013";"SOL";"CENTRO";"440197";"4474626";"40.418233359889484";"-3.706213134639163";"914 548 700                                                             
";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
5873478;"Museo ABC";"Centro de arte, dibujo e ilustracion.";"De martes a sabado de 11 a 20 horas  Domingos de 10 a 14 horas   Lunes cerrado    Durante 2017 el Museo ABC permanecera cerrado los dias:   1 y 6 de enero  24 y 31 de diciembre.";"";"Metro: San Bernardo (lineas 2, 4), Noviciado (linea 2), Ventura Rodriguez (linea 3), Plaza de Espana (lineas 3, 10)  Bus: 3, 147";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD";"AMANIEL";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28015";"UNIVERSIDAD";"CENTRO";"439922";"4475646";"40.42741121610518";"-3.709539260414957";"917 588 379";"";"info_museo@abc.es";"/contenido/entidadesYorganismos/Museos"; 
