PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7805;"Centro de Turismo Plaza Mayor";"Madrid cuenta en el Salon de Columnas de la Casa de la Panaderia de la centrica Plaza Mayor con uno de los mas modernos centros turisticos del pais que ofrece atencion especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta tambien a todas las peticiones de informacion que se realizan de manera no presencial.  Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Horario de atencion al publico de 9:30 a 21:30 horas, todos los dias del ano.";"Atencion presencial  / Especial idiomas asiaticos y ruso   Atencion especializada    Autoconsulta    Tienda de Madrid    Accesibilidad:    Lengua de Signos Espanola    Bucles magneticos (3)    Encaminamientos podotactiles    Apoyos isquiaticos    Plano haptico    Mostrador adaptado    Guia de Turismo Accesible (en CD)      area tecnologica: A udiovisuales";"Metro: Sol (lineas 1, 2, 3), opera (linea 2, 5, Ramal)  Bus: 3, 5, 6, 15, 17, 18, 20, 23, 31, 32, 35, 50, 51, 52, 53, 65, 150  Renfe: Sol";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b0a093e5fd61c010VgnVCM1000000b205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"Casa de la Panaderia";"MADRID";"MADRID";"28012";"SOL";"CENTRO";"440092";"4474361";"40.41583855082183";"-3.7074257084323636";"915 787 810                          ";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7846;"Delegacion de la Generalitat de Cataluna. Oficina de Turismo";"";"";"";"Metro: Banco de Espana (linea 2)  Bus: 5 , 9 , 52 , 53 , 146 , 150";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c4c19d41471c010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"44";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441066";"4474616";"40.4182053857487";"-3.6959697554881874";"915 241 892 (Oficina de turismo)          
";"";"turisme.blanquerna@gencat.cat";"/contenido/entidadesYorganismos/OficinasTurismo"; 
75606;"Oficina Central de Reservas e Informacion de la Comunidad de Madrid";"";"Horario de atencion al publico: de lunes a viernes de 9 a 14 horas";"";"Metro: Colon (linea 4), Banco de Espana (linea 2)  Bus: 1, 5, 9, 14, 19, 27, 37, 45, 51, 53, 74, 150  Renfe: Recoletos (lineas C1, C2, C7)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aff896e2cf41c010VgnVCM2000000c205a0aRCRD";"RECOLETOS";"PASEO";"V";"14";"";"";"";"ESQUINA CALLE RECOLETOS, 1";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441484";"4475090";"40.422504962784785";"-3.691086697178336";"912 767 478";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7836;"Oficina Joven Comunidad de Madrid. TIVE. Calle de Fernando el Catolico";"";"Horario: lunes a viernes, de 9 a 14 horas, entre el 1 de octubre y el 31 de marzo, y de 9 a 19 horas entre el 1 de abril y el 30 de septiembre.";"Obtencion de carnets internacionales  Estudiante  (ISIC)   Profesor  (ITIC)   International Youth Travel Card (IYTC)  Albergues Juveniles  Carne Joven    Reservas en albergues juveniles internacionales  Cursos de idiomas en el extranjero  Seguros de viajes  Billetes de bus nacional e internacional  Billetes de tren nacional y emision de billetes interRail  Oficina de Informacion Juvenil  Preinscripciones e inscripciones de participantes en campanas de la Direccion General de Juventud";"Metro: Moncloa (lineas 3, 6)  Bus: 1, 44, 82, 83, 132, 133, C1";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=397e19d41471c010VgnVCM1000000b205a0aRCRD";"FERNANDO EL CATOLICO";"CALLE";"V";"88";"";"";"";"";"MADRID";"MADRID";"28015";"GAZTAMBIDE";"CHAMBERI";"439229";"4476431";"40.43442331966472";"-3.717795251173153";"915 437 412";"915 440 062";"tive.juventud@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
4917035;"Oficina Joven Comunidad de Madrid. TIVE. Calle de Recoletos";"";"De lunes a viernes de 9 a 14 horas";"Obtencion de carnets internacionales  Estudiante  (ISIC)   Profesor  (ITIC)       International Youth Travel Card   (IYTC)   Albergues Juveniles  Carne Joven    Oficina de Informacion Juvenil";"Bus: 1, 5, 9, 14, 19, 27, 37, 45, 51, 53, 74, 150";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=145f8558aa00a110VgnVCM1000000b205a0aRCRD";"RECOLETOS";"CALLE";"V";"1";"";"";"";"c/v paseo de Recoletos, 14";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441496";"4475070";"40.42232563847626";"-3.6909434067579525";"901 510 610 / 912 767 563";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
10127255;"Oficina de Turismo de Andalucia.";"";"";"";"Metro: Goya (lineas 2, 4)  Bus: 15, 26, 61, 146, 152, 215, C1";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d0abc974d4ae6510VgnVCM1000001d4a900aRCRD";"FELIPE II";"AVENIDA";"V";"15";"I�";"";"";"";"MADRID";"MADRID";"28009";"GOYA";"SALAMANCA";"442950";"4475264";"40.424183525039";"-3.673810495427334";"912 031 200";"";"otmadrid@andalucia.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
27402;"Oficina de Turismo de Andorra";"";"";"";"Metro: Retiro (linea 2)  Bus: 1, 2, 9, 15, 19, 20, 28, 51, 52, 74, 146  Cercanias: Recoletos";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb68444a2951c010VgnVCM2000000c205a0aRCRD";"ALCALA";"CALLE";"V";"73";"";"";"";"";"MADRID";"MADRID";"28009";"RECOLETOS";"SALAMANCA";"441795";"4474861";"40.420463942385524";"-3.6873880759267004";"914 317 453";"915 776 341";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
8132913;"Oficina de Turismo de Austria";"";"";"";"Metro: Plaza de Espana (lineas 3, 10)  Bus: 1, 2, 3, 25, 39, 44, 46, 74, 75, 133, 138, 148, C1, C2";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b659eddb85d6e410VgnVCM1000000b205a0aRCRD";"JUAN ALVAREZ MENDIZABAL";"CALLE";"V";"1";"6�";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439559";"4475218";"40.42352919018361";"-3.7137893492193244";"915 426 832";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
127469;"Oficina de Turismo de Brasil";"";"De lunes a viernes de 10:30 a 13:30 horas";"";"Metro: Alonso Martinez (lineas 4, 5, 10), Ruben Dario (linea 5)  Bus: 3, 5, 7, 14, 21, 27, 37, 40, 45, 147, 150";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b15d47048781c010VgnVCM1000000b205a0aRCRD";"ALMAGRO";"CALLE";"V";"28";"2�";"";"";"";"MADRID";"MADRID";"28010";"ALMAGRO";"CHAMBERI";"441348";"4475943";"40.43017960044132";"-3.692768600492918";"917 020 689";"";"secom.madrid@itamaraty.gov.br";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7844;"Oficina de Turismo de Castilla - Leon";"";"";"";"Metro: Retiro (linea 2)  Bus: 1 , 2 , 15 , 19 , 20 , 28 , 51 , 52 , 74 , 146";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c93c19d41471c010VgnVCM1000000b205a0aRCRD";"ALCALa";"CALLE";"V";"105";"";"";"";"";"MADRID";"MADRID";"28009";"RECOLETOS";"SALAMANCA";"442183";"4475003";"40.42177018095319";"-3.6828394778643716";"915 780 324";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
