PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
3557;"Basilica Jesus de Medinaceli";"";"";"";"Bus: 10, 14, 27, 34, 37, 45  Metro: Anton Martin (linea 1)";"Cripta.  La imagen se podra visitar en la cripta y en el horario habitual. Las misas se celebraran tambien sin cambio de horarios.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a64eef4d7f71c010VgnVCM1000000b205a0aRCRD";"JESUS";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441093";"4474151";"40.41401835410496";"-3.695608378509962";"914 299 375";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
3394;"Basilica La Milagrosa";"";"";"";"Bus: 5, 12, 16, 61   Metro: Alonso Cano (linea 7), Iglesia (linea 1)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=53b313db5b71c010VgnVCM1000000b205a0aRCRD";"GARCIA DE PAREDES";"CALLE";"V";"45";"";"";"";"";"MADRID";"MADRID";"28010";"ALMAGRO";"CHAMBERI";"441103";"4476673";"40.436738433323576";"-3.695724577042382";"914 473 248 ";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"; 
3371;"Basilica Pontificia de San Miguel";"";"";"";"Metro: Sol (lineas 1, 2 y 3), Tirso de Molina (linea 1), La Latina (linea 5)  Renfe: Sol (lineas 3 y 4)  Bus: 3, 17, 18, 23, 31, 35, 50, 65, 148";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c383d232e91f010VgnVCM1000000b205a0aRCRD";"SAN JUSTO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439900";"4474180";"40.414203159177625";"-3.7096715906562716";"915 484 011";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3361;"Catedral Santa Maria la Real de la Almudena";"Su construccion comienza a finales del siglo XIX por el Marques de Cubas, sobre el primer recinto amurallado del Madrid musulman, y finaliza en el ano 1993.";"";"";"Metro: opera (lineas 2, 5, Ramal), Sol (Linea 1, 2, 3)  Bus: 3, 31, 41, 50, 62, 65, 148, C1, C2";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=15647b503a71c010VgnVCM1000000b205a0aRCRD";"MAYOR";"CALLE";"V";"90";"";"";"";"";"MADRID";"MADRID";"28013";"PALACIO";"CENTRO";"439514";"4474295";"40.41521119054696";"-3.7142200549476727";"915 480 930";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
5718;"Colegio Santa Rafaela Maria";"";"";"Comedor";"RENFE: Entrevias BUS: 24 , 103 , 111";"ENSEnANZA: Educacion Infantil (Segundo ciclo) - Primaria - ESO";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=38baf3216571c010VgnVCM1000000b205a0aRCRD";"SANTA RAFAELA MARIA DEL SAGRADO CORAZON";"CALLE";"NUM";"112";"";"";"";"";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"442954";"4470205";"40.37860045530123";"-3.6733208120007768";"917 858 014";"917 852 638";"colegio@colegiosantarafaelamaria.com";"/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados"; 
3354;"Convento de las Comendadoras de Santiago";"El templo fue construido entre 1667 y 1679 por Manuel del Olmo y Jose del Olmo. El convento data del siglo  XVIII   y es obra de Francisco de Sabatini. Es destacable la iglesia de planta cruciforme con gran cupula central y cuatro exedras semicirculares, asi como la sacristia de planta eliptica construida entre 1745 y 1754 por Francisco Moradillo.";"";"";"Metro: San Bernardo (lineas 2, 4), Ventura Rodriguez (linea 3)  Bus: 1, 2, 21, 44, 74, 133, 147, C";"Mas informacion en la  pagina web de Monumenta Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee6b13db5b71c010VgnVCM1000000b205a0aRCRD";"COMENDADORAS";"PLAZA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28015";"UNIVERSIDAD";"CENTRO";"439973";"4475645";"40.4273968151307";"-3.708949668437218";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
6079820;"Ermita de San Isidro";"";"Ermita:  sabados de 11 a 13 horas (celebracion de la Eucaristia a las 12 horas).   Fuente del Santo:  solo permanece abierta desde la semana anterior a la fiesta de San Isidro hasta la semana posterior.   Oficio en rito hispano mozarabe:  los dias 2 de enero a las 18 horas (comienzo del ano Caput anni) y 11 de mayo a las 18,30 horas (aniversario de la dedicacion).";"";"Metro: Marques de Vadillo (linea 5)   Bus: 17, 25, 50";"Descripcion monumental:  construida en 1528, sufre una completa transformacion en 1725.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=913cfa8389c10310VgnVCM1000000b205a0aRCRD";"QUINCE DE MAYO";"PASEO";"V";"62";"";"";"";"";"MADRID";"MADRID";"28019";"SAN ISIDRO";"CARABANCHEL";"438018";"4472563";"40.39949832410487";"-3.73168274610084";"913 650 841";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
35254;"Ermita de Santa Maria la Antigua";"";"";"";"Bus: 34, 108";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f19e059cb751c010VgnVCM2000000c205a0aRCRD";"MONSEnOR OSCAR ROMERO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28025";"PUERTA BONITA";"CARABANCHEL";"437153";"4470440";"40.380299379931614";"-3.741676977905724";"914 628 536 (Parroquia de San Sebastian Martir)";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3357;"Ermita Virgen del Puerto";"";"";"";"Metro: Puerta del angel (linea 6), Principe Pio (lineas 6 y 10)  Renfe: Principe Pio (lineas 1, 7 y 10)  Bus: 25, 31, 33, 39, 41, 62, 65, 138";"Descripcion monumental:  Construido por Pedro Ribera en 1.718.  Se encuadra en un proyecto urbanistico propuesto por el propio arquitecto para toda la ribera del Manzanares.  De planta octogonal con exedras, lleva cubierta de pizarra.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fd7755004e91f010VgnVCM2000000c205a0aRCRD";"VIRGEN DEL PUERTO";"PASEO";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"438928";"4474339";"40.41556461689203";"-3.7211426105677465";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3356;"Iglesia Catedral de las Fuerzas Armadas";"";"";"";"Metro: opera (Lineas , Ramal , 2 , 5), Tirso de Molina (linea 1), La Latina (linea 5)  Bus: 3 , 17 , 31, 41 , 50 , 62, 65, 148";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=23e03d232e91f010VgnVCM1000000b205a0aRCRD";"SACRAMENTO";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439681";"4474259";"40.414889947123754";"-3.7122600779776733";"915 473 624";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
