PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7066142;Asamblea Cristiana de Madrid;;;;Metro: Miguel Hernández (línea 1)  Bus: 54, 58, 103, 142, 143, 144;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03758105e2260410VgnVCM2000000c205a0aRCRD;ALORA;CALLE;V;7;Bajo;;;;MADRID;MADRID;28018;PALOMERAS SURESTE;PUENTE DE VALLECAS;445759;4471010;40.386.040.079.971.300;-364.034.744.917.085;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
1364;Asociación Betel;;;;Metro: San Francisco (línea 11)   Bus: 47, 108, 118, 121, 131;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9de076172d71c010VgnVCM1000000b205a0aRCRD;ANTONIA RODRíGUEZ SACRISTÁN;CALLE;V;8;;;;;MADRID;MADRID;28044;BUENAVISTA;CARABANCHEL;436857;4469609;40.372.799.948.839.900;-3.745.081.414.178.660;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
4530770;Asociación Darse - Dar Ayuda para la Reinserción Social España;;;;Metro 5(calle Camino Viejo de Leganés 1):urgel;Entidad inscrita en el Registro Municipal de Entidades Ciudadanas.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=358393b8cb901110VgnVCM2000000c205a0aRCRD;ALTO DE SAN ISIDRO;CAMINO;V;16;2º C;C;;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438769;4472223;403.964.910.317.842;-372.281.263.104.335;676247792;;darseorg@gmail.com;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3387;Catedral Anglicana de Madrid;;;;Metro: Alonso Martínez (líneas 4, 5, 10)  Bus: 37;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=94ef13db5b71c010VgnVCM1000000b205a0aRCRD;BENEFICENCIA;CALLE;NUM;18;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440843;4475522;4.042.635.120.982.080;-3.698.682.579.292.040;914 452 560 / 609 876 913;;secretario@anglicanos.org / anglicanspain@gmail.com;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3388;Catedral Ortodoxa Griega;;;;Metro: Colombia (líneas 8, 9)  Bus: 7, 11, 40, 52, 87;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82547b503a71c010VgnVCM1000000b205a0aRCRD;NICARAGUA;CALLE;V;12;;;;;MADRID;MADRID;28016;HISPANOAMERICA;CHAMARTIN;443056;4478968;4.045.754.917.910.680;-3.672.905.343.222.740;913 454 085;913 509 374;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3751;Centro Cultural Islámico. Mezquita de Madrid;;;;Parque de las Avenidas: (línea 7)   Bus: 21, 48, 53 , 122, 146;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a3b71e79ee71c010VgnVCM1000000b205a0aRCRD;SALVADOR DE MADARIAGA;CALLE;V;4;;;;;MADRID;MADRID;28027;SAN PASCUAL;CIUDAD LINEAL;444358;4476846;40.438.521.492.191.300;-36.573.640.044.493.400;913 262 610;;inform.cci@gmail.com;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7066102;Centro de Evangelización Anuncio de Paz;;;;Metro: Nueva Numancia (línea 1)  Bus: 10, 24, 54, 57, 58, 111, 136, 310;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=17bb8105e2260410VgnVCM2000000c205a0aRCRD;PUERTO DEL MONASTERIO;CALLE;V;10;BAJO;;;;MADRID;MADRID;28053;SAN DIEGO;PUENTE DE VALLECAS;443654;4471995;4.039.477.355.030.100;-3.665.233.691.809.310;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065996;Comunidad Cristiana Maranatha;;;;Metro: Menéndez Pelayo (línea 1)    Bus: 24, 37, 54, 57, 102, 141, 152;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=429604a5d0260410VgnVCM2000000c205a0aRCRD;GRANADA;CALLE;V;8;;;;;MADRID;MADRID;28007;PACIFICO;RETIRO;442402;4473144;4.040.503.855.717.770;-36.800.894.670.027.300;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3386;Iglesia Anglicana Episcopal de San Jorge;;;;Metro: Velazquez (línea 4)  Bus: 1, 9, 19, 21, 51, 53, 74;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=48047b503a71c010VgnVCM1000000b205a0aRCRD;NUÑEZ DE BALBOA;CALLE;V;43;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;442193;4475550;4.042.669.852.639.710;-368.277.143.067.568;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7063835;Iglesia Bautista Alameda de Osuna;;;;Metro: El Capricho (línea 5)  Bus: 101, 105, 112, 114, 115, 151;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd9c1ea949750410VgnVCM2000000c205a0aRCRD;JOAQUIN IBARRA;CALLE;V;46;;;;;MADRID;MADRID;28042;ALAMEDA DE OSUNA;BARAJAS;449837;4478637;40.455.005.219.463.800;-3.592.907.109.932.930;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7063848;Iglesia Bautista Barrio del Pilar;;;;Metro: Barrio del Pilar (línea 9)  Bus: 49, 83, 128, 132, 134, 137, 147;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d7521ea949750410VgnVCM2000000c205a0aRCRD;GINZO DE LIMIA;CALLE;V;44;;;;;MADRID;MADRID;28029;LA PAZ;FUENCARRAL-EL PARDO;440509;4481318;4.047.854.013.481.560;-3.703.163.788.451.910;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7063869;Iglesia Bautista de Usera;;;;Metro: Usera (línea 6)  Bus: 6, 47, 60, 81, 247;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9d28ec795b750410VgnVCM2000000c205a0aRCRD;MADRIDEJOS;CALLE;V;41;;;;;MADRID;MADRID;28026;PRADOLONGO;USERA;439858;4470882;4.038.448.119.553.990;-37.098.425.934.998.900;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064915;Iglesia Bautista de Vallecas;;;;Metro: Nueva Numancia (línea 1)    Bus: 54, 57, 58, 136;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=19bdb607bec50410VgnVCM2000000c205a0aRCRD;SAN VIRGILIO;CALLE;V;2;;;;;MADRID;MADRID;28038;NUMANCIA;PUENTE DE VALLECAS;443836;4472093;4.039.566.870.843.570;-36.630.979.420.842.500;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3385;Iglesia Bautista El Buen Pastor;;;;Metro: Prosperidad (línea 4)  Bus:9, 73;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=27ff13db5b71c010VgnVCM1000000b205a0aRCRD;GETAFE;PLAZA;V;1;;;;;MADRID;MADRID;28002;PROSPERIDAD;CHAMARTIN;443105;4477490;40.444.238.011.956.800;-36.721.947.831.541.400;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3742;Iglesia Bautista General Lacy;Primera Iglesia Evangélica de Madrid;;;Metro: Palos de la Frontera (línea 3)  Bus: 8, 47, 55, 102, 247  Renfe: Atocha;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ede51e79ee71c010VgnVCM1000000b205a0aRCRD;GENERAL LACY;CALLE;V;18;;;;;MADRID;MADRID;28045;PALOS DE MOGUER;ARGANZUELA;441481;4472990;40.403.586.898.197.800;-3.690.928.534.913.430;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
